workload_type,engine,ad_mode,M,instance_type,machine_family,vcpu_count,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone
european_local_vol,jax,reverse,1000,c2d-standard-4,c2d,4,21.06767333333437,47466.08627245743,2.1067673333334368e-05,,europe-west1,europe-west1-b
european_local_vol,cpp,none,1000,c2d-standard-4,c2d,4,5.376058000005439,186009.897958502,5.376058000005439e-06,,europe-west1,europe-west1-b
european_local_vol,rust,none,1000,c2d-standard-4,c2d,4,4.2860053333365995,233317.48848327098,4.2860053333366e-06,,europe-west1,europe-west1-b
asian,cpu,none,1000,c2d-standard-4,c2d,4,7.654908333331416,130635.13715059734,7.654908333331416e-06,,europe-west1,europe-west1-b
asian,jax,forward,1000,c2d-standard-4,c2d,4,304.0034873333373,3289.4359494748437,0.0003040034873333373,,europe-west1,europe-west1-b
asian,jax,reverse,1000,c2d-standard-4,c2d,4,208.61277733333358,4793.57023468482,0.00020861277733333358,,europe-west1,europe-west1-b
european,jax,none,5000,c2d-standard-4,c2d,4,0.4306982000031212,11609057.107653959,2.153491000015606e-06,,europe-west1,europe-west1-b
european,cpp,none,5000,c2d-standard-4,c2d,4,0.04665920000093138,107160002.74115701,2.3329600000465688e-07,,europe-west1,europe-west1-b
european_local_vol,jax,none,5000,c2d-standard-4,c2d,4,38.507229399996845,129845.74787404492,0.00019253614699998422,,europe-west1,europe-west1-b
asian,jax,none,5000,c2d-standard-4,c2d,4,69.26450539999678,72187.04545893188,0.0003463225269999839,,europe-west1,europe-west1-b
european,cpp,none,5000,c2d-standard-4,c2d,4,0.04665920000093138,107160002.74115701,2.3329600000465688e-07,,europe-west1,europe-west1-b
european,jax,none,25000,c2d-standard-4,c2d,4,0.6644617142857864,37624440.14832651,1.661154285714466e-05,,europe-west1,europe-west1-b
european_local_vol,jax,none,25000,c2d-standard-4,c2d,4,133.35369242857098,187471.37439325795,0.0033338423107142747,,europe-west1,europe-west1-b
